# Double Metaphone keys, as Lawrence Philips' reference C++ produces them.
#
# One word per line: the word, a tab, then its keys separated by a comma --
# the primary first, and the alternate after it when the spelling is
# ambiguous enough to have one. A word with no Latin letters has no keys and
# is not listed.
#
# Generated by compiling the reference implementation -- the 2000 C/C++ Users
# Journal algorithm, in the widely mirrored `double_metaphone.cc` -- and
# feeding it the list below, which is the words Philips' own rule comments
# name, the transliteration variant groups these lists actually publish, the
# names in spec/fixtures, and every hundredth word of the system dictionary
# for breadth. Regenerating it means compiling that source again; nothing in
# this repository produces these values, which is the point of them.
#
# The implementation was checked against the same reference over all 235,974
# alphabetic words of /usr/share/dict/words and agreed on every one; this
# file is the part of that check a spec can carry.
smith	SM0,XMT
schmidt	XMT,SMT
smyth	SM0,XMT
caesar	SSR
chianti	KNT
michael	MKL,MXL
chore	XR
chorus	KRS
chemistry	KMSTR
charac	KRK
charis	KRS
horowitz	HRTS,HRFX
hymn	HMN
hiatus	HTS
hemlock	HMLK
bacher	PKR
macher	MKR
wachtler	AKTLR,FKTLR
wechsler	AKSLR,FKSLR
tichner	TXNR,TKNR
mchugh	MK
mccarthy	MKR0,MKRT
czerny	SRN,XRN
filipowicz	FLPTS,FLPFX
focaccia	FKX
mcclellan	MKLLN
accident	AKSTNT
accede	AKST
succeed	SKST
bacci	PX
bertucci	PRTX
bellocchio	PLX
bacchus	PKS
edge	AJ
edgar	ATKR
ghislane	JLN
ghiradelli	JRTL
hugh	H
bough	P
broughton	PRTN
laugh	LF
mclaughlin	MKLFLN
cough	KF
gough	KF
rough	RF
tough	TF
cagney	KKN
tagliaro	TKLR,TLR
danger	TNJR,TNKR
ranger	RNJR,RNKR
manger	MNJR,MNKR
biaggi	PJ,PK
yankelovich	ANKLFX,ANKLFK
jankelowicz	JNKLTS,ANKLFX
jose	HS
sanjacinto	SNJSNT
bajador	PJTR,PHTR
bajaj	PJJ,PH
cabrillo	KPRL,KPR
gallegos	KLKS,KKS
dumb	TM
thumb	0M,TM
campbell	KMPL
raspberry	RSPR
rogier	RJ,RJR
hochmeier	HKMR
island	ALNT
isle	AL
carlisle	KRLL
carlysle	KRLL
sugar	XKR,SKR
schermerhorn	XRMRRN,SKRMRRN
schenker	XNKR,SKNKR
school	SKL
schooner	SKNR
schlesinger	XLSNKR,SLSNJR
resnais	RSN,RSNS
artois	ART,ARTS
thomas	TMS
thames	TMS
wasserman	ASRMN,FSRMN
vasserman	FSRMN
arnow	ARN,ARNF
arnoff	ARNF
breaux	PR
zhao	J
xavier	SF,SFR
psalm	SLM
knight	NT
wright	RT
gnome	NM
pneumonia	NMN
uomo	AM
womo	AM,FM
nowak	NK
wojcik	AJSK,FJSK
tchaikovsky	XKFSK
schwarzenegger	XRSNKR,XFRTSNKR
orchestra	ARKSTR
architect	ARKTKT
orchid	ARKT
arch	ARX,ARK
dixon	TKSN
dicksonx	TKSNKS
martha	MR0,MRT
marhta	MRT
dwayne	TN
duane	TN
crate	KRT
trace	TRS
mohammed	MHMT
muhammad	MHMT
mohamad	MHMT
mohamed	MHMT
mahmoud	MMT
yusuf	ASF
yousef	ASF
youssef	ASF
jusuf	JSF,ASF
yosef	ASF
qaddafi	KTF
gaddafi	KTF
kadafi	KTF
qadhafi	KTF
khadafi	KTF
zawahiri	SHR
zawahri	SR
zawahry	SR
nasrallah	NSRL
nasralla	NSRL
nasrulla	NSRL
abdul	APTL
abdel	APTL
abdal	APTL
hussein	HSN
hussain	HSN
husain	HSN
osama	ASM
usama	ASM
sheikh	XK
shaykh	XK
shaikh	XK
abbas	APS
abu	AP
al	AL
zaydan	STN
aerocaribbean	ARKRPN
aero	AR
caribbean	KRPN
airlines	ARLNS
artavia	ARTF
ever	AFR
given	JFN,KFN
munoz	MNS
hermanos	HRMNS
ep	AP
iba	AP
tang	TNK
chris	KRS
ping	PNK
keung	KNK
teir	TR
tair	TR
tayr	TR
mahmud	MMT
zahhar	SR
zahar	SHR
khaled	KLT
gazprom	KSPRM
gazprombank	KSPRMPNK,KTSPRMPNK
neft	NFT
rosneft	RSNFT
trading	TRTNK
kunlun	KNLN
bank	PNK
melli	ML
china	XN
telecom	TLKM
corporation	KRPRXN
limited	LMTT
central	SNTRL
russian	RSN
federation	FTRXN
putin	PTN
vladimir	FLTMR
vladimirovich	FLTMRFX,FLTMRFK
qusay	KS
saddam	STM
badege	PTJ,PTK
eric	ARK
bosco	PSK
taganda	TKNT
ntaganda	NTKNT
ntagenda	NTJNT,NTKNT
terminator	TRMNTR
lydia	LT
amir	AMR
said	ST
rahman	RMN
qurashi	KRX
hajji	HJ
abdallah	APTL
qardash	KRTX
mawla	ML
mula	ML
ustadh	ASTT
ahmad	AMT
kim	KM
jong	JNK,ANK
un	AN
yong	ANK
chol	XL
choe	X
song	SNK
sergei	SRJ,SRK
viktorovich	FKTRFX,FKTRFK
lavrov	LFRF
saif	SF
islam	ALM
ladin	LTN
awad	AT
bin	PN
a	A
abettal	APTL
ablation	APLXN
abortiveness	APRTFNS
absconder	APSKNTR
abstractional	APSTRKXNL
academite	AKTMT
acaridomatium	AKRTMTM
accessibly	AKSSPL
accordantly	AKRTNTL
aceanthrene	ASN0RN,ASNTRN
acetify	ASTF
acetylsalicylate	ASTLSLSLT
achroglobin	AKRKLPN
acidyl	ASTL
acolous	AKLS
acraeinae	AKRN
acrodermatitis	AKRTRMTTS
acrostichal	AKRSTXL,AKRSTKL
actinology	AKTNLJ,AKTNLK
actuarian	AKTRN
adamellite	ATMLT
addlement	ATLMNT
adenographic	ATNKRFK
adiabatically	ATPTKL
adjudgeable	ATJJPL
admittedly	ATMTTL
adossed	ATST
adulterine	ATLTRN
advisability	ATFSPLT
aegyptilla	AJPTL,AKPT
aerocharidae	ARXRT,ARKRT
aeroporotomy	ARPRTM
affect	AFKT
affreight	AFRT
afterbrain	AFTRPRN
afterroll	AFTRL
agamogenetic	AKMJNTK,AKMKNTK
agentship	AJNTXP,AKNTXP
agistor	AJSTR,AKSTR
agone	AKN
agrobiologist	AKRPLJST,AKRPLKST
ahrendahronon	ARNTRNN
aircraftwoman	ARKRFTMN
ajutment	AJTMNT
alackaday	ALKT
albarium	ALPRM
albuminometer	ALPMNMTR
alcor	ALKR
alectryomancy	ALKTRMNS
aleyrodidae	ALRTT
algometrically	ALKMTRKL
alimentotherapy	ALMNT0RP,ALMNTTRP
alkapton	ALKPTN
allelic	ALLK
allocinnamic	ALSNMK
allothogenic	AL0JNK,ALTKNK
almightily	ALMTL
alonso	ALNS
alsinaceae	ALSNS
altitudinal	ALTTTNL
alveoloclasia	ALFLKLS,ALFLKLX
amarantite	AMRNTT
ambery	AMPR
ambrosiaceae	AMPRSS,AMPRXS
amerceable	AMRSPL
amidocaffeine	AMTKFN
amissness	AMSNS
amnioallantoic	AMNLNTK
amour	AMR
amphicyon	AMFSN
amphistylar	AMFSTLR
amsonia	AMSN
amyloid	AMLT
anacephalize	ANSFLS
anaglyphics	ANKLFKS
analyser	ANLSR
anaplerosis	ANPLRSS
anathematism	AN0MTSM,ANTMTSM
anchoretism	ANXRTSM,ANKRTSM
andre	ANTR
anecdotic	ANKTTK
aneurismally	ANRSML
angiofibroma	ANJFPRM,ANKFPRM
anglicanize	ANKLKNS,ANLKNS
angustiseptal	ANKSTSPTL
animalian	ANMLN
anisomerous	ANSMRS
annalistic	ANLSTK
annularity	ANLRT
anomoeanism	ANMNSM
anounou	ANN
ante	ANT
antenniferous	ANTNFRS
anthelion	AN0LN,ANTLN
anthospermum	AN0SPRMM,ANTSPRMM
anthropogeography	AN0RPJKRF,ANTRPKKRF
anthrylene	AN0RLN,ANTRLN
antic	ANTK
anticonscription	ANTKNSKPXN
antiedemic	ANTTMK
antiguan	ANTKN
antimalaria	ANTMLR
antinephritic	ANTNFRTK
