9640,12813,-0- ,-0- ,-0- ,-0- 
9647,68713,-0- ,-0- ,"Region: Gaza",-0- 
15268,22761,"172 Xibin Rd, Ranghulu District, (Daqing, Heilongjiang Branch)","Daqing 163453","China",-0- 
15268,22762,"9 Dongzhimen North Street, Dongcheng District, (Head Office)","Beijing 100007","China",-0- 
17250,26288,"2/3 Lakhtinsky Avenue, Bldg. 1","St. Petersburg, Russia 197229","Russia",-0- 
17250,26290,"BOX 1255","St. Petersburg 190900","Russia",-0- 
18299,27696,"Rue Place du Lac 2, 1204","Geneva","Switzerland",-0- 
19993,30270,"C/O Treureva AG, Muhlebachstrasse 23","Zurich 8024","Switzerland",-0- 
19993,30272,"Chamerstrasse 172, P.O. Box","Zug CH-6300","Switzerland",-0- 
29242,44242,"1 Arsenal Street",-0- ,"Hong Kong",-0- 
30882,48464,"31 Jinrong Street, Xicheng District","Beijing 100033","China",-0- 
31695,47734,"Neglinnaya St 12","Moscow 107016","Russia",-0- 
31695,47741,-0- ,"Moscow","Russia",-0- 
88888,500,"Nowhere St","Atlantis","-0- ",-0- 

