9640,9152,"aka","ABU TAIR, Mohammed Mahmud",-0- 
9640,9153,"aka","ABOU TAYR, Mohammad Mahmoud",-0- 
9647,9160,"aka","AL ZAHAR, Mahmoud Khaled",-0- 
15268,22509,"fka","KARAMAY URBAN CREDIT COOPERATIVES",-0- 
15268,22510,"fka","KARAMAY CITY COMMERCIAL BANK CO LTD.",-0- 
17250,26548,"aka","GAZPROM PAO",-0- 
17250,26549,"aka","PJSC GAZPROM",-0- 
19993,31550,"aka","BM HOLDING LTD",-0- 
19993,31551,"aka","BM HOLDING SA",-0- 
29242,45965,"aka","TANG, Ping-keung",-0- 
30882,50530,"aka","CHINA TELECOM",-0- 
30882,50531,"aka","CHINA TELECOM CO., LTD",-0- 
31695,49722,"aka","BANK ROSSI, FEDERAL STATE BUDGETARY INSTITUTION",-0- 
31695,49723,"aka","BANK OF RUSSIA",-0- 
99999,1,"aka","ORPHAN ALIAS LTD",-0- 

